Daty,ln_rates_EA19,ln_rates_JPN,ln_rates_POL,ln_rates_USA,unemp_EA19,unemp_JPN,unemp_OECD,unemp_POL,unemp_USA,ln_gdp_growth_EA19,ln_gdp_growth_JPN,ln_gdp_growth_OECD,ln_gdp_growth_POL,ln_gdp_growth_USA,ln_growth_AP,ln_growth_fw_AP,ln_growth_fm_AP,ln_growth_OP,ln_growth_fw_OP,ln_growth_fm_OP,ln_growth_ARW,ln_growth_fw_ARW,ln_growth_fm_ARW,ln_growth_ORW,ln_growth_fw_ORW,ln_growth_fm_ORW,ln_growth_ARR,ln_growth_fw_ARR,ln_growth_fm_ARR,ln_growth_ORR,ln_growth_fw_ORR,ln_growth_fm_ORR,ln_growth_G,ln_growth_fw_G,ln_growth_fm_G,ln_growth_wig20,ln_growth_fw_wig20,ln_growth_fm_wig20,ln_growth_nyse,ln_growth_fw_nyse,ln_growth_fm_nyse
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,,,,,,,,,-0.02801563191619394,0.02801563191619394,0.02801563191619394,0.0,0.0,0.0,0.0075605694679525826,0.0075605694679525826,0.0075605694679525826,-0.004735536165805243,0.004735536165805243,0.004735536165805243,-0.028108960506550318,0.028108960506550318,0.028108960506550318,-0.00021150795637225883,0.00021150795637225883,0.00021150795637225883,0.00039866447929259863,0.00039866447929259863,0.00039866447929259863,-0.03085598949326318,0.03085598949326318,0.03085598949326318,,,
2000-01-05,,,,,,,,,,,,,,,-0.010864672724356872,0.033030809040132746,0.038530929530547146,0.0,0.0,0.0,-0.016800474217504302,0.016152855943439303,0.009831695001173249,-0.0017870768622261224,0.0055542077925959995,0.006464713970261066,-0.012268473912251388,0.03396705221436843,0.03999619250194676,-0.0015395869251024763,0.0016175033050676508,0.0017428135859700973,0.00042340693774622906,0.0006652287384986985,0.0008128979230425403,-0.01096944064045502,0.03579956005242389,0.04146434371034965,,,
2000-01-06,,,,,,,,,,,,,,,0.024958404340443607,0.05174686218958441,0.02082941404675571,-3.635372171650886e-05,3.635372171650886e-05,3.635372171650886e-05,-0.009239856912135025,0.02356402220189221,0.01905970048862356,-0.0017465727957555188,0.004737730806820301,0.008029682355909047,-0.010215449994293913,0.029512057476597593,0.04917390207930115,0.0007700897535096729,0.0016553389970621044,0.001046608340304667,0.0003983369485283106,0.0006696939959293307,0.0011849998322772065,0.030536300742547873,0.059427352871240575,0.021320838475795502,,,
2000-01-07,,,,,,,,,,,,,,,0.04530686331978728,0.09099205202969178,0.0474495597154421,0.0,3.635372171650886e-05,3.635372171650886e-05,0.011174258562183681,0.02798886585547668,0.009270298738986636,0.005534868458643594,0.010272304702287044,0.005254173185474016,0.021115665410902373,0.0506265656954637,0.035825702473976935,0.00226831569164343,0.003923248451876535,0.0017916169095170758,0.0004479394858893926,0.0004044677475239865,0.0015754282974421486,0.05371381107373008,0.10519304431769189,0.05860086112694032,,,
2000-01-10,,,,,,,,,,,,,,,0.029570565952036,0.09378511906242547,0.07681128087240395,0.0,3.635372171650886e-05,3.635372171650886e-05,0.026446848952071278,0.05388273768045468,0.023203457368487165,0.0006517064076163592,0.010487759125759175,0.0054163198955006426,0.010021638615270945,0.05463288998570429,0.03549672211222693,0.0006334398875829095,0.004169774263947355,0.0024185211298056526,0.0012929214362316088,0.000890311541846263,0.002677830849194905,0.03437043959248065,0.10790870696965954,0.09291382539832693,,,
2000-01-11,,,,,,,,,,,,,,,-0.00995802249436828,0.0791561659225899,0.0670943925879873,0.0,3.635372171650886e-05,3.635372171650886e-05,-0.015283653146965115,0.054909795358007454,0.007982887087708059,-0.007761102833256928,0.012979638869965561,0.006438202035718422,-0.0030313479225645423,0.041553735886589845,0.03440782153443264,-0.003960781951684034,0.007318614843504647,0.001634983581124226,0.00044716053808180334,0.000904826022696134,0.003032117542678371,-0.013029336421468862,0.09321834214954189,0.08036652180972355,,,
2000-01-12,,,,,,,,,,,,,,,-0.007062305790923595,0.07597441417694906,0.061126629548821025,-3.6355043357083616e-05,5.882262658968161e-05,6.0074800941047997e-05,0.004514553759484841,0.033655003978030555,0.012467542648551076,-0.0025419656936058743,0.013554750168463598,0.007993742279459884,-0.005397292051909197,0.034682785461217266,0.03155099680352076,-0.0013108941017065945,0.007168369536172696,0.0029453573477052175,0.0004469606749015753,0.0008860998511148831,0.003325530792081032,-0.006910245474475829,0.08990257127833716,0.0747363930050608,,,
2000-01-13,,,,,,,,,,,,,,,0.029207100809640174,0.07725180465092897,0.08262566935971821,0.0,3.6355043357083616e-05,6.0074800941047997e-05,0.013395042434677151,0.03220781202494377,0.025369964940407105,0.004815488883471275,0.017073154964255988,0.007120468321954687,0.008057189642398654,0.03367929110221384,0.03768401459941163,0.002812453695427486,0.008420597791904497,0.0009271951437552134,0.000421946170893861,0.0008666746260697185,0.0035362678557170333,0.035855826359553866,0.09168333546900603,0.1000735039496177,,,
2000-01-14,,,,,,,,,,,,,,,-0.008776613278334011,0.023196110439400043,0.07757650792153079,-3.635636509446982e-05,2.246906093163137e-05,8.078800075804753e-05,0.013326949464895321,0.03435991729921781,0.037664444015758664,0.0016145575475148277,0.01359646549274862,0.007950693446554963,0.007661029327355351,0.02032952569442391,0.044991874224193755,-0.0006734978846969497,0.0059039608285748335,0.00096104527991946,0.000446572563057579,0.0008662742076050192,0.003683218148042336,-0.011079897689690199,0.02721763323638941,0.09404969393229241,,,
